Puzzle Name,Search Method,Is Solved,Heuristic,Iteration Step,Nodes Generated,Nodes Repeated,Fringe Nodes,Explored Nodes,Duration,Path
levels/misc/easy4.txt,bfs,Solved,None,None,1899,970,263,590,14.410766124725342,r|d|l|l|l|l|u|r|r|l|l|d|r|r|r|r|u|l|l|r|r|d|l|l|l|l|u|r|r|u|r|r|d|l|r|d|l|l|l|l|u|r|r|l|l|d|r|r|r|u|r|d|l|l|l|l|u|r|r|u|l|l|u|u|r|r|d|d|l|l|d|r|r|l|l|d|r|r|r|r|u|l|r|d|l|l|u|u|u|d|l|l|d|r|r|r|r|u|l|r|d|l|l|l|l|u|u|u|r|u|r|d|l|l|l|u|r|r|r|r|r|d|d|d|l|l|r|r|d|l|l|l|l|u|r|r|u|u|l|l|l|u|r|r|r|l|l|l|d|r|r|r|d|d|l|l|d|r|r|r|r|u|l|r|d|l|l|l|l|u|u|u|r|r|d|d|r|r|d|l|l|r|r|d|l|l|l|l|u|r|r|l|l|d|r|r|r|r|u|l|l|l|r|r|r|d|l|l|l|l|u|r|r|r|r|u|l|l|u|u|l|l|d|d|r|r|r|r|u|u|u|l|r|d|d|d|l|l|l|d|r|r|r|d|l|l|l|l|u|r|r|r|r|u|u|u|u|l|l|r|r|d|d|d|l|l|l|d|r|r|r|d|l|l|l|l|u|u|r|r|r|r|u|u|u|l|l|l|r|r|r|d|d|d|l|l|u|u|l|l|l|u|r|r|r|l|l|l|d|r|r|r|d|d|r|r|d|l|l|l|l|u|u|d|r|r|r|r|u|u|u|l|r|d|d|d|l|l|l|l|u|u|r|u|r|l|d|r|d|d|r|r|d|l|l|l|l|u|u|u|l|u|r|
levels/misc/easy4.txt,IDA*,Solved,Manhattan,Fixed (4),1519,0,323,1585,9.310927152633667,l|u|u|u|l|l|u|r|r|d|d|d|d|l|d|l|u|u|u|u|l|u|r|
